title,link,summary,date,source,cleaned,sentiment#,sentiment,trump,biden
"Opinion: While Bush pleads for unity, Trump plays coronavirus victim",http://rss.cnn.com/~r/rss/cnn_topstories/~3/MVpRpOZXUNI/index.html,"On Saturday, former President George W. Bush released a short, heartfelt video offering words of support for a nation rocked by a staggering loss of lives and livelihoods during the coronavirus pandemic. In less than three minutes, a somber-voiced Bush expressed gratitude to the nation's medical professionals, called on Americans to protect their neighbors by keeping their distance from them and urged us to show empathy and kindness to all. ""Let us remember how small our differences are in the face of this shared threat,"" he said. ""We are not partisan combatants. We are human beings, equally vulnerable and equally wonderful in the sight of God.""",2020-05-03 19:15:02+00:00,rss/cnn_topstories,opinion while bush pleads for unity trump plays coronavirus victim on saturday former president george w bush released a short heartfelt video offering words of support for a nation rocked by a staggering loss of lives and livelihoods during the coronavirus pandemic in less than three minutes a sombervoiced bush expressed gratitude to the nations medical professionals called on americans to protect their neighbors by keeping their distance from them and urged us to show empathy and kindness to all let us remember how small our differences are in the face of this shared threat he said we are not partisan combatants we are human beings equally vulnerable and equally wonderful in the sight of god,0.9505,positive,1,0
CNN follows contact tracers as they try to contain Covid-19,http://rss.cnn.com/~r/rss/cnn_topstories/~3/kKewn7hEYk4/coronavirus-contact-tracing-turkey-arwa-damon-pkg-vpx.cnn,CNN's Arwa Damon follows a group of contact tracers as they try to track down and contain exposure to coronavirus in Turkey.,2020-05-03 17:14:16+00:00,rss/cnn_topstories,cnn follows contact tracers as they try to contain covid19 cnns arwa damon follows a group of contact tracers as they try to track down and contain exposure to coronavirus in turkey,0.0,neutral,0,0
A weekend marked by park days and protests,http://rss.cnn.com/~r/rss/cnn_topstories/~3/Yef8LP5L-kI/index.html,,2020-05-03 19:13:32+00:00,rss/cnn_topstories,a weekend marked by park days and protests ,-0.2263,negative,0,0
What happens if a vaccine is never developed?,http://rss.cnn.com/~r/rss/cnn_topstories/~3/Jy2Aa_9Ti54/index.html,Podcast | Timeline | Catch up | All 50 states' reopening plans,2020-05-03 16:59:24+00:00,rss/cnn_topstories,what happens if a vaccine is never developed podcast  timeline  catch up  all 50 states reopening plans,0.0,neutral,0,0
"Matt Keough, former Oakland Athletics pitcher and 'Real Housewives' figure, dies",http://rss.cnn.com/~r/rss/cnn_topstories/~3/CBkZVLJr4yo/index.html,"Matt Keough, a former major league pitcher and an occasional figure on ""Real Housewives of Orange County,"" died Friday at the age of 64. The cause was not made public.",2020-05-03 14:49:18+00:00,rss/cnn_topstories,matt keough former oakland athletics pitcher and real housewives figure dies matt keough a former major league pitcher and an occasional figure on real housewives of orange county died friday at the age of 64 the cause was not made public,-0.5574,negative,0,0
"Women dressed as nurses are stealing packages off porches, police say",http://rss.cnn.com/~r/rss/cnn_topstories/~3/gGwJAEFaPdM/index.html,"Women dressed as health care workers are taking packages from outside residents homes in Washington state, according to the Kennewick Police Department.",2020-05-03 17:16:58+00:00,rss/cnn_topstories,women dressed as nurses are stealing packages off porches police say women dressed as health care workers are taking packages from outside residents homes in washington state according to the kennewick police department,-0.128,neutral,0,0
Trump blames China for outbreak. See how they responded.,http://rss.cnn.com/~r/rss/cnn_topstories/~3/GclmFMaHEvk/chinese-media-coronavirus-reaction-rivers-pkg-tsr-vpx.cnn,CNN's Matt Rivers reports on how Chinese state media is responding to blame from the US for their coronavirus response.,2020-05-01 22:46:44+00:00,rss/cnn_topstories,trump blames china for outbreak see how they responded cnns matt rivers reports on how chinese state media is responding to blame from the us for their coronavirus response,-0.6249,negative,1,0
"This Texas teen delivered 10,000 masks to medical workers. She's also fighting a stigma",http://rss.cnn.com/~r/rss/cnn_topstories/~3/rTZk54UzXx4/index.html,"Most ninth-grade girls worry about schoolwork, friends and crushes. Lately, however, Valerie Xu has focused on face masks.",2020-05-03 18:47:14+00:00,rss/cnn_topstories,this texas teen delivered 10000 masks to medical workers shes also fighting a stigma most ninthgrade girls worry about schoolwork friends and crushes lately however valerie xu has focused on face masks,-0.4336,negative,0,0
Pompeo says initial reports show shots fired from North Korea were 'accidental',http://rss.cnn.com/~r/rss/cnn_topstories/~3/1IIfQVjx9yY/index.html,"Secretary of State Mike Pompeo says the initial reports on the shots fired from North Korea into South Korea on Sunday morning indicate they were ""accidental.""",2020-05-03 16:40:39+00:00,rss/cnn_topstories,pompeo says initial reports show shots fired from north korea were accidental secretary of state mike pompeo says the initial reports on the shots fired from north korea into south korea on sunday morning indicate they were accidental,-0.8316,negative,0,0
Analysis: Here's how Italians 'quaranteamed' 700 years ago,http://rss.cnn.com/~r/rss/cnn_topstories/~3/a1Zvzrl3hxw/index.html,"How was social distance observed (if at all) during previous pandemics? Turns out there's quite a precedent not just for staying away for your neighbors, but also for the idea of ""quaranteaming"" you might have heard about.",2020-05-03 12:01:04+00:00,rss/cnn_topstories,analysis heres how italians quaranteamed 700 years ago how was social distance observed if at all during previous pandemics turns out theres quite a precedent not just for staying away for your neighbors but also for the idea of quaranteaming you might have heard about,0.0,neutral,0,0
Ex-Bush official says lockdown protesters aren't heroes,http://rss.cnn.com/~r/rss/cnn_topstories/~3/EVLc59uZDP8/tom-ridge-lockdown-protest-not-heroes-sot-tsr-vpx.cnn,"Former Republican Governor of Pennsylvania Tom Ridge, who also served as the Homeland Security secretary under President George W. Bush, says armed protesters demonstrating against coronavirus lockdown orders are self-absorbed and not heroes.",2020-05-03 01:14:22+00:00,rss/cnn_topstories,exbush official says lockdown protesters arent heroes former republican governor of pennsylvania tom ridge who also served as the homeland security secretary under president george w bush says armed protesters demonstrating against coronavirus lockdown orders are selfabsorbed and not heroes,-0.7007,negative,0,0
Biden confronts allegation as he prepares for unprecedented campaign against Trump,http://rss.cnn.com/~r/rss/cnn_topstories/~3/ftz0K5Pbxik/index.html,"Six months before Election Day, Joe Biden is scrambling to build a campaign to wage a political fight with little precedent in American history, hoping to capitalize on opportunities and overcome challenges that the coronavirus crisis has injected into his battle with President Donald Trump.",2020-05-03 20:03:24+00:00,rss/cnn_topstories,biden confronts allegation as he prepares for unprecedented campaign against trump six months before election day joe biden is scrambling to build a campaign to wage a political fight with little precedent in american history hoping to capitalize on opportunities and overcome challenges that the coronavirus crisis has injected into his battle with president donald trump,-0.6705,negative,1,1
Tens of thousands of flamingos flock to a locked-down Mumbai,http://rss.cnn.com/~r/rss/cnn_topstories/~3/LF2AAO1S1V0/index.html,"The humans may be in lockdown in India, but tens of thousands of flamingos are making the most of the peace and quiet.",2020-05-01 17:11:57+00:00,rss/cnn_topstories,tens of thousands of flamingos flock to a lockeddown mumbai the humans may be in lockdown in india but tens of thousands of flamingos are making the most of the peace and quiet,0.7307,positive,0,0
"A woman in South Carolina is dead after an 'alligator encounter,' authorities say",http://rss.cnn.com/~r/rss/cnn_topstories/~3/1eEhJ5LTfhY/index.html,"A woman is dead after a run-in with an alligator on a South Carolina island, the Charleston County Sheriff's Office said.",2020-05-03 17:55:57+00:00,rss/cnn_topstories,a woman in south carolina is dead after an alligator encounter authorities say a woman is dead after a runin with an alligator on a south carolina island the charleston county sheriffs office said,-0.8625,negative,0,0
The world is paying a high price for cheap clothes,http://rss.cnn.com/~r/rss/cnn_topstories/~3/23i9-kJTrZQ/index.html,,2020-05-03 07:32:13+00:00,rss/cnn_topstories,the world is paying a high price for cheap clothes ,0.0,neutral,0,0
'Game of Thrones' star sets deadlift record,http://rss.cnn.com/~r/rss/cnn_topstories/~3/ela-_JqH8Bw/index.html,"Hafþór Björnsson, best known for playing the Mountain in the popular HBO series ""Game of Thrones,"" just broke a major world record.",2020-05-03 15:12:46+00:00,rss/cnn_topstories,game of thrones star sets deadlift record hafr bjrnsson best known for playing the mountain in the popular hbo series game of thrones just broke a major world record,0.7184,positive,0,0
Secretariat wins virtual Triple Crown at Kentucky Derby,http://rss.cnn.com/~r/rss/cnn_topstories/~3/kvcjDPviP9g/kentucky-derby-virtual-triple-crown-orig-kj.cnn,A virtual horse race featuring the past 13 Triple Crown winners was held to raise money for Covid-19 relief after the 146th Kentucky Derby was postponed due to the pandemic.,2020-05-03 13:45:35+00:00,rss/cnn_topstories,secretariat wins virtual triple crown at kentucky derby a virtual horse race featuring the past 13 triple crown winners was held to raise money for covid19 relief after the 146th kentucky derby was postponed due to the pandemic,0.8442,positive,0,0
'Scrubs' actor Sam Lloyd dies at 56,http://rss.cnn.com/~r/rss/cnn_topstories/~3/Gey0Pr3oZ-k/index.html,"Actor Sam Lloyd, who appeared on several television shows and portrayed lawyer Ted Buckland on the comedy, ""Scrubs,"" has died, his agent said.",2020-05-02 05:33:28+00:00,rss/cnn_topstories,scrubs actor sam lloyd dies at 56 actor sam lloyd who appeared on several television shows and portrayed lawyer ted buckland on the comedy scrubs has died his agent said,-0.2732,negative,0,0
Actress got caught using restroom on 'Zoom' call,http://rss.cnn.com/~r/rss/cnn_topstories/~3/oVWyDgzzK0A/tiffany-haddish-embarassing-zoom-call-vpx.hln,"Tiffany Haddish recounts taking a bathroom break in the middle of a ""Zoom"" meeting, and not realizing that she could be seen by other callers in the meeting.",2020-04-30 12:09:41+00:00,rss/cnn_topstories,actress got caught using restroom on zoom call tiffany haddish recounts taking a bathroom break in the middle of a zoom meeting and not realizing that she could be seen by other callers in the meeting,0.0,neutral,0,0
"The human needs driving the rise in gardening, and how to start one",http://rss.cnn.com/~r/rss/cnn_topstories/~3/rQSKM-Vh8M8/index.html,Local plant nurseries are seeing spikes in seed sales.,2020-05-03 14:51:43+00:00,rss/cnn_topstories,the human needs driving the rise in gardening and how to start one local plant nurseries are seeing spikes in seed sales,0.0,neutral,0,0
Italy's incredible 'floating ship' bridge reaches for the sky,http://rss.cnn.com/~r/rss/cnn_topstories/~3/qlQgyoDBNko/index.html,"High above the Polcevera valley, the final section of a majestic new bridge was hoisted into place this week, signaling the imminent completion of a remarkable engineering project against seemingly impossible odds.",2020-05-03 09:22:35+00:00,rss/cnn_topstories,italys incredible floating ship bridge reaches for the sky high above the polcevera valley the final section of a majestic new bridge was hoisted into place this week signaling the imminent completion of a remarkable engineering project against seemingly impossible odds,0.5859,positive,0,0
"'Goonies' cast, Steven Spielberg reunite and it's awesome",http://rss.cnn.com/~r/rss/cnn_topstories/~3/pgmYJiu7zPw/the-goonies-cast-reunion-orig-jk.cnn,"The cast of the 1985 classic movie ""The Goonies"" got together to raise money for The Center for Disaster Philanthropy. Steven Spielberg and Cyndi Lauper came to the party, too.",2020-04-28 19:48:07+00:00,rss/cnn_topstories,goonies cast steven spielberg reunite and its awesome the cast of the 1985 classic movie the goonies got together to raise money for the center for disaster philanthropy steven spielberg and cyndi lauper came to the party too,0.4019,positive,0,0
Landlords are bracing for a wave of rent defaults,http://rss.cnn.com/~r/rss/cnn_topstories/~3/7SPWtZj8yU4/index.html,Landlords across the country are anticipating fewer people will be able to pay rent in May than April. But they are even more worried about what comes in the months after.,2020-05-03 19:23:30+00:00,rss/cnn_topstories,landlords are bracing for a wave of rent defaults landlords across the country are anticipating fewer people will be able to pay rent in may than april but they are even more worried about what comes in the months after,-0.533,negative,0,0
US unemployment hasn't looked this bad since the 1930s,http://rss.cnn.com/~r/rss/cnn_topstories/~3/dU3h87yKFUc/index.html,"Since the middle of March, Americans have filed more than 30 million claims for their first week of unemployment benefits, sparking a crisis of joblessness that materialized almost overnight.",2020-05-03 14:55:52+00:00,rss/cnn_topstories,us unemployment hasnt looked this bad since the 1930s since the middle of march americans have filed more than 30 million claims for their first week of unemployment benefits sparking a crisis of joblessness that materialized almost overnight,-0.9086,negative,0,0
Your tributes to the people we've lost to Covid-19,http://rss.cnn.com/~r/rss/cnn_topstories/~3/4I-AZRjXe20/,,no date,rss/cnn_topstories,your tributes to the people weve lost to covid19 ,-0.3182,negative,0,0
Drug offers hope to some Covid-19 patients,http://rss.cnn.com/~r/rss/cnn_topstories/~3/GGz0c-hyvVQ/coronavirus-patients-remdesivir-fda-pkg-sidner-vpx.cnn,"The FDA has approved emergency use of the experimental drug remdesivir to treat hospitalized patients with severe Covid-19, but experts say more clinical trials are needed. CNN's Sara Sidner reports.",2020-05-02 22:14:21+00:00,rss/cnn_topstories,drug offers hope to some covid19 patients the fda has approved emergency use of the experimental drug remdesivir to treat hospitalized patients with severe covid19 but experts say more clinical trials are needed cnns sara sidner reports,0.2732,positive,0,0
This is how America's largest city deals with its dead,http://rss.cnn.com/~r/rss/cnn_topstories/~3/OJ9GnV2XPWU/index.html,"In his final moments, Ananda Mooliya reassured his wife and two sons that he was fine, though they could hear his labored breathing from the next room, over the sound of the TV.",2020-05-03 20:23:54+00:00,rss/cnn_topstories,this is how americas largest city deals with its dead in his final moments ananda mooliya reassured his wife and two sons that he was fine though they could hear his labored breathing from the next room over the sound of the tv,-0.2023,negative,0,0
30 brilliant gifts for Mom that will make her day,http://rss.cnn.com/~r/rss/cnn_topstories/~3/QVSwBLKdPeQ/index.html,,no date,rss/cnn_topstories,30 brilliant gifts for mom that will make her day ,0.5859,positive,0,0
Disney's new cloth masks feature Baby Yoda & others,http://rss.cnn.com/~r/rss/cnn_topstories/~3/JWlGBCb9liU/index.html,,no date,rss/cnn_topstories,disneys new cloth masks feature baby yoda  others ,0.0,neutral,0,0
The best noise-canceling headphones of 2020,http://rss.cnn.com/~r/rss/cnn_topstories/~3/HLHrMz-APl8/index.html,,no date,rss/cnn_topstories,the best noisecanceling headphones of 2020 ,0.6369,positive,0,0
20 Mother's Day gifts for the best mom in the world,http://rss.cnn.com/~r/rss/cnn_topstories/~3/rUqgtVaEKS4/index.html,,no date,rss/cnn_topstories,20 mothers day gifts for the best mom in the world ,0.6369,positive,0,0
"Top weekend sales: Brooklinen, Ancestry & more",http://rss.cnn.com/~r/rss/cnn_topstories/~3/jtwWQIB9iY0/index.html,,no date,rss/cnn_topstories,top weekend sales brooklinen ancestry  more ,0.2023,positive,0,0
Invasive giant hornets spotted in the US for the first time,http://rss.cnn.com/~r/rss/cnn_topstories/~3/-EA0oojYlX8/index.html,"Just when you thought 2020 could not get any worse, there are giant hornets with a venomous sting to add to the list of worries this year.",2020-05-03 20:04:15+00:00,rss/cnn_topstories,invasive giant hornets spotted in the us for the first time just when you thought 2020 could not get any worse there are giant hornets with a venomous sting to add to the list of worries this year,-0.0634,neutral,0,0
6 ways 'Never Have I Ever' busts Asian stereotypes,http://rss.cnn.com/~r/rss/cnn_topstories/~3/zSuwhyM-IIs/index.html,"""Never Have I Ever,"" the No. 1 trending show on Netflix, is rightfully being celebrated as a watershed moment for the representation of South Asians in Hollywood. But the 10-part series' real magic is how much it twists stereotypes within even that experience. Here are six ways it does so (warning, spoilers ahead):",2020-05-02 11:21:59+00:00,rss/cnn_topstories,6 ways never have i ever busts asian stereotypes never have i ever the no 1 trending show on netflix is rightfully being celebrated as a watershed moment for the representation of south asians in hollywood but the 10part series real magic is how much it twists stereotypes within even that experience here are six ways it does so warning spoilers ahead,-0.5306,negative,0,0
Dr. Gupta shows you how to run outside safely right now,http://rss.cnn.com/~r/rss/cnn_topstories/~3/s1QBREa7nUU/running-outside-safely-during-coronavirus-pandemic-sanjay-gupta-demo-coronavirus-town-hall-vpx.cnn,"Is going outside for a walk, run or jog still safe during the coronavirus pandemic? CNN's Dr. Sanjay Gupta has some tips to make sure you're taking proper precautions during your outdoor workout.",2020-05-01 08:27:46+00:00,rss/cnn_topstories,dr gupta shows you how to run outside safely right now is going outside for a walk run or jog still safe during the coronavirus pandemic cnns dr sanjay gupta has some tips to make sure youre taking proper precautions during your outdoor workout,0.8126,positive,0,0
"Labs are still America's favorite dog, but corgis are gaining on them",http://rss.cnn.com/~r/rss/cnn_topstories/~3/qik3JpA10Lg/index.html,"For the 29th year in a row, the Labrador retriever has kept its title as America's top dog, but the Pembroke Welsh corgi, with its stubby legs, adorable smile and even cuter butt, has jumped into the top 10 of America's most popular purebreds for the first time.",2020-05-03 20:06:28+00:00,rss/cnn_topstories,labs are still americas favorite dog but corgis are gaining on them for the 29th year in a row the labrador retriever has kept its title as americas top dog but the pembroke welsh corgi with its stubby legs adorable smile and even cuter butt has jumped into the top 10 of americas most popular purebreds for the first time,0.9782,positive,0,0
The economy can't recover until parents have child care again,http://rss.cnn.com/~r/rss/cnn_topstories/~3/0MO8Mm8eXsw/index.html,"Governors, mayors and President Trump are eager for the US economy to reopen. But child care -- or lack thereof -- could be the X factor to determine when that will happen.",2020-05-02 16:45:07+00:00,rss/cnn_topstories,the economy cant recover until parents have child care again governors mayors and president trump are eager for the us economy to reopen but child care  or lack thereof  could be the x factor to determine when that will happen,0.6369,positive,1,0
Blue Bell agrees to $19 million fine over ice cream linked to 2015 listeria outbreak,http://rss.cnn.com/~r/rss/cnn_topstories/~3/XLUReml77eQ/index.html,"Blue Bell Creameries agreed to plead guilty to two misdemeanors and pay $19.3 million in fines for shipping contaminated ice cream during a 2015 listeria outbreak that left three people dead. Its former CEO was charged with conspiracy in a scheme to cover up the incident, the US Department of Justice announced.",2020-05-02 21:47:22+00:00,rss/cnn_topstories,blue bell agrees to 19 million fine over ice cream linked to 2015 listeria outbreak blue bell creameries agreed to plead guilty to two misdemeanors and pay 193 million in fines for shipping contaminated ice cream during a 2015 listeria outbreak that left three people dead its former ceo was charged with conspiracy in a scheme to cover up the incident the us department of justice announced,-0.6808,negative,0,0
"Unemployment claims from Asian Americans have spiked 6,900% in New York. Here's why",http://rss.cnn.com/~r/rss/cnn_topstories/~3/l2kD8kxBupY/index.html,"In New York state, about 147,000 Asian Americans have filed initial unemployment claims in the last four weeks alone, up 6,900% from the same time a year ago. That's by far the largest percentage increase experienced by any one racial or ethnic group.",2020-05-01 22:54:56+00:00,rss/cnn_topstories,unemployment claims from asian americans have spiked 6900 in new york heres why in new york state about 147000 asian americans have filed initial unemployment claims in the last four weeks alone up 6900 from the same time a year ago thats by far the largest percentage increase experienced by any one racial or ethnic group,-0.6705,negative,0,0
Elon Musk is using his power to be selfish,http://rss.cnn.com/~r/rss/cnn_topstories/~3/-VprVhkDhfg/index.html,"Early Wednesday morning, Tesla CEO and self-styled futurist Elon Musk called on Twitter for the government to ""FREE AMERICA NOW."" He also tweeted, ""Give people their freedom back!"" On a Tesla earnings call later that day, Musk called stay-at-home orders ""fascist.""",2020-05-02 23:58:38+00:00,rss/cnn_topstories,elon musk is using his power to be selfish early wednesday morning tesla ceo and selfstyled futurist elon musk called on twitter for the government to free america now he also tweeted give people their freedom back on a tesla earnings call later that day musk called stayathome orders fascist,0.2023,positive,0,0
"Why Asia did much better than US, Europe",http://rss.cnn.com/~r/rss/cnn_topstories/~3/sX1g3xSDi6U/index.html,The number of Americans who have died from Covid-19 now significantly exceeds the total US troop fatalities during the Vietnam War.,2020-05-03 14:32:29+00:00,rss/cnn_topstories,why asia did much better than us europe the number of americans who have died from covid19 now significantly exceeds the total us troop fatalities during the vietnam war,-0.8481,negative,0,0
Eye-opening South Korea study on Covid-19,http://rss.cnn.com/~r/rss/cnn_topstories/~3/0VDVFsh-M2U/index.html,"The most complicated issue in America right now is how, when and where to reopen the cities and towns that have been sheltered in place. Everyone wants resumption of the mobile life of social proximity we enjoyed a few months ago but balancing this against the competing need to assure both individual safety and -- because this is a contagious disease -- societal safety remains a substantial challenge.",2020-05-01 05:54:16+00:00,rss/cnn_topstories,eyeopening south korea study on covid19 the most complicated issue in america right now is how when and where to reopen the cities and towns that have been sheltered in place everyone wants resumption of the mobile life of social proximity we enjoyed a few months ago but balancing this against the competing need to assure both individual safety and  because this is a contagious disease  societal safety remains a substantial challenge,0.9042,positive,0,0
Dictatorial regimes use Covid-19 to quash press,http://rss.cnn.com/~r/rss/cnn_topstories/~3/u3tQzNYtDsI/index.html,"Perhaps we shouldn't be surprised by attacks on press freedoms and journalists around the world amid the Covid-19 pandemic. We've seen this pattern before: A crisis engulfs a nation, and its government moves to curtail, manipulate or shut down news coverage. But just because we've seen this pattern before doesn't mean that we should pay less attention to it now. In fact, now is a time to be especially vigilant.",2020-05-02 13:57:20+00:00,rss/cnn_topstories,dictatorial regimes use covid19 to quash press perhaps we shouldnt be surprised by attacks on press freedoms and journalists around the world amid the covid19 pandemic weve seen this pattern before a crisis engulfs a nation and its government moves to curtail manipulate or shut down news coverage but just because weve seen this pattern before doesnt mean that we should pay less attention to it now in fact now is a time to be especially vigilant,-0.3277,negative,0,0
Trump's reelection strategy is taking shape,http://rss.cnn.com/~r/rss/cnn_topstories/~3/8DL_9Oc1kP0/index.html,"President Donald Trump is facing a tough reelection campaign. The country is reeling from Covid-19, his approval ratings are sliding and Joe Biden — though stuck in the basement of his Delaware home — is polling remarkably well in competitive states.",2020-05-03 02:23:00+00:00,rss/cnn_topstories,trumps reelection strategy is taking shape president donald trump is facing a tough reelection campaign the country is reeling from covid19 his approval ratings are sliding and joe biden  though stuck in the basement of his delaware home  is polling remarkably well in competitive states,0.6068,positive,1,1
"Obama team vetted Biden, found no hint of allegation",http://rss.cnn.com/~r/rss/cnn_topstories/~3/lYSk2l6Kew8/index.html,"When it became clear that Barack Obama would be the nominee of the Democratic Party in the spring of 2008, he commissioned a team of lawyers to begin an in-depth vetting process of potential candidates for vice president.",2020-05-02 03:56:55+00:00,rss/cnn_topstories,obama team vetted biden found no hint of allegation when it became clear that barack obama would be the nominee of the democratic party in the spring of 2008 he commissioned a team of lawyers to begin an indepth vetting process of potential candidates for vice president,0.4767,positive,0,1
